pl_name,pl_rade,pl_eqt,pl_orbper,st_spectype
"Kepler-1978 b",3.17000000,676.00,10.84965239000,
"Kepler-142 c",2.78000000,1210.00,4.76170525900,
"Kepler-612 b",2.33000000,1046.00,3.72215889500,
"Kepler-1566 b",0.68000000,1727.00,0.53991523800,
"Kepler-633 c",2.45000000,853.00,23.78324700000,
"Kepler-851 b",1.69000000,895.00,8.50691000000,
"Kepler-896 b",2.60000000,304.00,144.54739600000,
"Kepler-36 b",1.45000000,977.00,13.84984567000,
"K2-35 c",2.20000000,766.00,5.60840000000,
"Kepler-215 d",2.45000000,600.00,30.86437869000,
"Kepler-1355 b",1.38000000,1428.00,1.28958860000,
"Kepler-647 b",1.15000000,770.00,16.22546490000,
"Kepler-913 b",2.62000000,707.00,10.29672521000,
"Kepler-100 d",1.50000000,674.00,35.33308660000,
"Kepler-1866 b",2.08000000,834.00,11.66016670000,
"Kepler-1859 c",1.66000000,1327.00,3.59645081000,
"Kepler-1915 b",3.15000000,809.00,13.83541420000,
"Kepler-613 b",2.30000000,710.00,15.77955000000,
"Kepler-261 c",2.10000000,509.00,24.57081569000,
"TOI-778 b",15.24530000,1450.00,4.63361550000,
"TOI-2285 b",1.77000000,358.00,13.63510900000,
"TOI-4184 b",2.43000000,412.00,4.90198040000,"M5.5+/-0.5"
"TOI-1268 b",9.31888000,860.00,8.15772100000,
"KELT-2 A b",15.03680000,2080.00,4.11378620000,
"HAT-P-38 b",10.24074428,1007.02,4.64012692204,
"KELT-20 b",21.29120000,2084.33,3.47410120000,
"WASP-16 b",11.85712400,1194.99,3.11853600000,
"WASP-15 b",14.93713100,1512.78,3.75206200000,
"WASP-131 b",17.10380871,1432.57,5.32205050955,
"WASP-46 b",13.18745031,1525.90,1.43036994965,
"WASP-62 b",15.47060000,1408.00,4.41193780000,
"WASP-95 b",13.70285267,1549.44,2.18466694872,
"WASP-100 b",16.38690000,1864.00,2.84938250000,
"WASP-94 A b",20.53570000,1570.00,3.95020080000,
"WASP-8 b",12.73930000,1059.00,8.15872610000,
"WASP-97 b",14.29540000,1708.00,2.07275980000,
"WASP-6 b",12.74000711,1036.74,3.36100125301,
"WASP-96 b",14.37529211,1233.15,3.42525631341,
"WASP-5 b",12.96216425,1602.75,1.62842883310,
"WASP-50 b",13.14068336,1307.33,1.95509315621,
"WASP-77 A b",13.09118126,1544.01,1.36002827982,
"HD 189733 b",13.30103550,1101.70,2.21857480391,
"Ross 176 b",2.22447000,731.00,5.00662200000,
"WASP-11 b",11.46948561,940.60,3.72246259498,
"WASP-28 b",14.26320000,1430.00,3.40883300000,
"WASP-32 b",12.45430000,1388.00,2.71862560000,
"WASP-75 b",13.34130000,1232.00,2.48419750000,
"XO-4 b",15.34790000,1608.00,4.12504290000,
"WASP-12 b",22.61545551,2428.54,1.09143044696,
"HAT-P-4 b",15.16330000,1715.00,3.05652590000,
"HAT-P-2 b",13.25830000,1372.00,5.63347700000,
"TrES-3 b",16.75888299,1443.29,1.30618801690,
"WASP-76 b",21.95555489,2159.43,1.80988107710,
"HAT-P-19 b",11.54442620,914.36,4.00882450354,
"TrES-1 b",12.75298917,1077.41,3.03007145827,
"TOI-1238 c",2.52485590,700.60,3.29476891974,
"TOI-1238 b",1.24072258,1140.08,0.76458065849,
"HAT-P-34 b",14.55020000,1271.00,5.45264790000,
"HAT-P-7 b",17.97810000,2634.00,2.20474520000,
"KELT-16 b",17.13312582,2332.23,0.96899271754,
"HAT-P-6 b",15.40140000,1604.00,3.85299980000,
"HAT-P-1 b",14.53310000,1118.00,4.46529860000,
"HAT-P-3 b",10.04330000,1015.00,2.89974050000,
"HAT-P-16 b",15.40180000,1761.00,2.77596780000,
"Qatar-1 b",12.52420000,1231.00,1.42002480000,
"KELT-1 b",12.94380000,2361.00,1.21749360000,
"WASP-17 b",21.23150000,1670.00,3.73548380000,
"TrES-4 b",21.20280763,1761.68,3.55392834409,
"HAT-P-18 b",10.72997950,768.05,5.50806821746,
"WASP-3 b",16.40120000,1825.00,1.84683450000,
"HAT-P-5 b",13.94326447,1377.40,2.78847226599,
"TrES-2 b",13.77034053,1363.80,2.47061141800,
"Kepler-12 b",20.35653367,1414.04,4.43797265828,
"Kepler-5 b",15.21650157,1678.30,3.54844807426,
"WASP-7 b",13.08890000,1386.00,4.95464800000,
"WASP-26 b",13.80446613,1509.04,2.75673948743,
"WASP-33 b",18.21793114,2510.79,1.21983821253,
"WASP-48 b",18.05375882,1949.02,2.14363640031,
"XO-3 b",16.40910000,1626.00,3.19152570000,
"KELT-7 b",17.80500000,1808.00,2.73476510000,
"HAT-P-33 b",19.61310000,1789.00,3.47447630000,
"TOI-1743 b",3.30511000,506.00,4.26605530000,
"KELT-3 b",16.72000000,1790.00,2.70339420000,
"WASP-13 b",16.25090000,1388.00,4.35323390000,
"HAT-P-22 b",13.03560000,1183.00,3.21223020000,
"GJ 436 b",3.81211403,594.05,2.64388561055,
"KELT-6 b",14.28660000,1442.00,7.84560750000,
"HAT-P-12 b",11.09750000,918.00,3.21305780000,
"Kepler-6 b",13.31600225,1374.57,3.23469439654,
"HAT-P-20 b",11.13310000,846.00,2.87531830000,
"WASP-104 b",12.62298499,1384.26,1.75542853530,
"WASP-65 b",13.18791073,1418.56,2.31142033564,
"XO-1 b",13.83520000,1179.00,3.94150410000,
